molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL1530646,Cc1ccnc(NS(=O)(=O)c2ccc(NC(=O)c3nc(SC(C)C)ncc3Cl)cc2)n1,inactive,478.98700000000014,3.782020000000002,2.0,8.0,3.6500000268811803
CHEMBL3194149,COc1cccc(NC(=S)N/N=C\c2cn(C)c3ccc(S(=O)(=O)N4CCOCC4)cc23)c1,inactive,487.60700000000037,2.5283000000000007,2.0,7.0,4.149999867728904
CHEMBL1373429,CN(C)S(=O)(=O)c1ccccc1C#N,inactive,210.258,0.8085800000000003,0.0,3.0,4.349999603463148
CHEMBL1732455,O=C(NCCC(=O)N1O[C@@H]2C=C[C@H]1C2)OCC1c2ccccc2-c2ccccc21,inactive,390.4390000000001,3.3861000000000026,1.0,4.0,4.40000018605658
CHEMBL1329294,CCN(CC)c1cc(C)c2cc(NC(=O)c3cccc(OC)c3OC)ccc2n1,inactive,393.4870000000002,4.658920000000004,1.0,5.0,4.250000251143582
CHEMBL1304471,Cc1cc(C)cc(NC(=O)Cn2c(=O)oc3cc(S(=O)(=O)N4CC(C)CC(C)C4)ccc32)c1,inactive,471.57900000000024,3.5166400000000024,1.0,6.0,4.450000476425332
CHEMBL1512727,Cc1nn2c(=O)c(Cc3ccc(Br)cc3)c(C)[nH]c2c1-c1ccccc1,inactive,408.29900000000015,4.659740000000004,1.0,3.0,4.899998417198648
CHEMBL1515664,Cc1nn(C(C)(C)C)c(OC(=O)c2cccc(F)c2)c1Sc1ccccc1,inactive,384.47600000000006,5.456020000000005,0.0,5.0,3.4499999868218088
CHEMBL3194162,O=C(O)c1cccc(NC(=S)N/N=C/c2ccccc2OCc2cccc(Br)c2)c1,inactive,484.37500000000017,5.046800000000003,3.0,4.0,4.349999603463148
CHEMBL1339468,Cc1cc(C)c(C(=O)N2CCCC(CNS(=O)(=O)c3cccs3)C2)o1,inactive,382.5070000000001,2.788640000000001,1.0,5.0,4.100000128334196
CHEMBL1449683,Cc1cccc(-n2c(/C=C/c3cn(C)c4ccccc34)nc3ccccc3c2=O)c1,inactive,391.47400000000016,5.356220000000004,0.0,4.0,4.300000202445418
CHEMBL1708045,Cc1cc2c(=Cc3ccc(N(C)C)cc3)c3ccccc3n2[n+]1C.O=S(=O)([O-])C(F)(F)F,inactive,465.4970000000001,2.8905200000000013,0.0,5.0,4.450000476425332
CHEMBL1559754,COC(=O)c1ccc(NC(=O)Cn2c(=O)oc3ccccc32)cc1,inactive,326.308,2.0198,1.0,6.0,4.049999969853415
CHEMBL2135275,CC1CC(C)(C)CC2(C1)NC(=O)N(CC(=O)Nc1ccc3c(c1)OCO3)C2=O,active,387.43600000000015,2.4906000000000006,2.0,5.0,7.0
CHEMBL1548692,COc1ccc(-c2nnc3ccc(SC(C(C)=O)C(C)=O)nn23)cc1OC,active,386.43300000000016,2.4472000000000005,0.0,9.0,7.0
CHEMBL1370304,Cc1ccc(CC2CC(=O)N(CCc3ccccc3)C2=O)cc1,active,307.39300000000003,3.1553200000000015,0.0,2.0,6.199970640755866
CHEMBL3194177,CCN(CC)Cc1c(C(=O)N/N=C/c2c(Cl)cccc2Cl)nnn1-c1nonc1N,inactive,452.3060000000002,2.145,2.0,10.0,4.40000018605658
CHEMBL1417770,CCOc1ccccc1Oc1c[nH]nc1-c1ccc(OC)cc1O,inactive,326.35200000000003,3.9819000000000027,2.0,5.0,4.349999603463148
CHEMBL1866773,CCOc1cc(NC(=O)C2CC2)c(OCC)cc1NC(=O)c1cc(OC)c(OC)c(OC)c1,inactive,458.5110000000002,4.110600000000003,2.0,7.0,4.349999603463148
CHEMBL1256672,Nc1nc(Nc2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,active,358.35800000000006,-0.23640000000000044,5.0,10.0,6.299988937677887
CHEMBL1509704,CSc1ccc(C(c2c(C(=O)O)[nH]c3ccccc23)c2c(C(=O)O)[nH]c3ccccc23)cc1,inactive,456.5230000000002,5.947700000000004,4.0,3.0,4.349999603463148
CHEMBL3194189,O/C(=C\c1ccc2ccccc2n1)c1ccncc1,inactive,248.285,3.685900000000002,1.0,3.0,4.40000018605658
CHEMBL1978894,CC(=O)Nc1ccc(/N=C/c2c(O)ccc3ccccc23)cc1,inactive,304.34900000000005,4.254400000000002,2.0,3.0,4.450000476425332
CHEMBL1727985,CCOc1ccccc1NC(=O)CN1c2cccc3cccc(c23)S1(=O)=O,inactive,382.4410000000001,3.3859000000000012,1.0,4.0,4.300000202445418
CHEMBL1456062,COc1ccc(-c2csc(Nc3ccccn3)n2)cc1OC,inactive,313.38200000000006,3.965900000000003,1.0,6.0,4.349999603463148
CHEMBL1331946,CC1CCN(CCOc2ccc(C(=O)c3ccccc3)cc2)CC1.O=C(O)C(=O)O,inactive,413.4700000000002,3.1839000000000013,2.0,5.0,4.800000874803203
CHEMBL1386999,O=C(CSc1ccccn1)Nc1ccc2c(c1)OCCO2,inactive,302.35500000000013,2.5836000000000006,1.0,5.0,4.300000202445418
CHEMBL1387891,CCOc1ccc(NC(=O)CSc2nc3c4ccccc4nc-3c(O)n2C)cc1,active,408.4830000000001,3.9082000000000026,2.0,7.0,6.0499760934766735
CHEMBL1896129,CCOc1ccc(N(C(=O)c2snc(C(N)=O)c2N)C(C(=O)NC2CCCC2)c2ccncc2)cc1,inactive,508.60400000000027,3.064800000000001,3.0,8.0,4.300000202445418
CHEMBL1430989,O=C(CSc1nc2ccccc2s1)c1cc2ccccc2o1,inactive,325.41400000000004,5.017500000000004,0.0,5.0,4.550000451689026
CHEMBL582699,O=C(Nc1ccc(C(F)(F)F)cc1)c1cc(S(=O)(=O)NC2CCCCCC2)ccc1F,inactive,458.4770000000003,5.097900000000003,2.0,3.0,4.349999603463148
CHEMBL1880444,COc1cc(C(C2C(=O)CC(C)(C)CC2=O)C2C(=O)CC(C)(C)CC2=O)ccc1OC(C)=O,inactive,456.5350000000003,3.8529000000000035,0.0,7.0,4.40000018605658
CHEMBL1553012,CC(=O)c1ccc(-c2c(C)cc3oc(=O)cc(-c4ccccc4)c3c2C)cc1,inactive,368.4320000000001,5.946440000000005,0.0,3.0,4.349999603463148
CHEMBL1325955,COC(=O)c1ccc(NC(=O)CC2Nc3cc(C)c(C)cc3NC2=O)cc1,inactive,367.4050000000001,2.85144,3.0,5.0,4.40000018605658
CHEMBL1358082,Cc1ccc(NC(=O)CN2CCCN(Cc3cc(C)ccc3C)S2(=O)=O)c(Cl)c1,active,435.9770000000001,3.6564600000000027,1.0,3.0,6.64994590642097
CHEMBL1445193,CC(C)Cn1c(SCc2cccc(F)c2)nc2ccsc2c1=O,inactive,348.4680000000001,4.545400000000003,0.0,5.0,4.450000476425332
CHEMBL1311728,O=C(CN1CCN(c2ccccn2)CC1)Nc1cc(C(F)(F)F)ccc1Cl,inactive,398.81600000000003,3.5145000000000017,1.0,4.0,4.499999678657065
CHEMBL1473413,Cc1ccc(C(=O)Nc2ccc(C(=O)OCc3cc(=O)n4ccsc4n3)cc2)cc1,active,419.46200000000005,3.673720000000002,1.0,7.0,6.550059011226662
CHEMBL1893168,COC(=O)c1ccccc1NC(=O)Cn1nc(C)c2nn(-c3ccc(Cl)cc3)c(C)c2c1=O,inactive,465.89700000000016,3.2777400000000023,1.0,8.0,5.0
CHEMBL1874955,C[C@@H]1CN([C@H](C)CO)C(=O)c2cc(C#C[C@@H](C)O)cnc2O[C@H]1CN(C)C(=O)c1ccc(F)cc1,active,483.5400000000002,1.9452999999999994,2.0,6.0,6.599980364934842
CHEMBL1480848,COc1ccc(NC(=O)C2CCN(c3nc4ccccc4[nH]3)CC2)cc1OC,active,380.44800000000015,3.435200000000002,2.0,5.0,6.550059011226662
CHEMBL2140869,COc1ccc(CN2C(=O)C(CC(=O)NCc3ccco3)CC(C(=O)N3CCOCC3)=C2C)cc1,active,481.5490000000004,2.476,1.0,6.0,6.450016388840311
CHEMBL1551796,COc1cccc(CNc2ncnc3c2nnn3C)c1,inactive,270.296,1.3789999999999998,1.0,7.0,4.300000202445418
CHEMBL1477803,Cc1ccc(O)c(NC(=O)CCS(=O)(=O)c2nc(-c3ccc4c(c3)OCO4)cc(C(F)(F)F)n2)c1,active,509.4620000000002,3.707620000000002,2.0,8.0,6.15002808767115
CHEMBL1717769,O=C(CCC(=O)N1CC2CCCN2c2ccccc21)NCc1ccc(F)cc1,inactive,381.4510000000001,3.237700000000001,1.0,3.0,4.450000476425332
CHEMBL1487553,Cc1ccccc1Oc1nc2c(c(=O)n(C)c(=O)n2C)n1Cc1ccc(Br)cc1,inactive,455.31200000000007,3.345220000000002,0.0,7.0,4.650000220873455
CHEMBL1966772,COc1ccc2ccc(OC)c(/C=N/NC(=O)c3cc4ccccc4o3)c2c1,inactive,374.3960000000001,4.367100000000003,1.0,5.0,4.450000476425332
CHEMBL1600447,CCN(CC)C(=O)c1cc([N+](=O)[O-])cc2c1-c1ccc([N+](=O)[O-])cc1C2=C(C#N)C#N,inactive,417.3810000000002,3.814460000000003,0.0,7.0,4.550000451689026
CHEMBL1086,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,inactive,343.471,3.4853000000000023,1.0,4.0,4.349999603463148
